asset,side,quantity,cost_basis,weight,current_price,avg_entry_price,market_value,portfolio_weight,unrealized_pnl,unrealized_pnl_pct
BTC-USD,LONG,0.3309802793376643,22398.399999999998,0.223984,67672.9140625,67672.9140625,22398.399999999998,0.223984,0.0,0.0
ETH-USD,LONG,9.257533890990432,19120.6,0.191206,2065.40966796875,2065.40966796875,19120.6,0.191206,0.0,0.0
