timestamp,equity,cash,market_value,pnl,pnl_pct,rolling_high,drawdown,source
2026-07-10T01:57:45.181124+00:00,100000.0,30000.0,70000.0,0.0,0.0,100000.0,0.0,broker_ledger_v4_1_reconciled_baseline
2026-07-10T01:58:42.144227+00:00,100000.0,30000.0,70000.0,0.0,0.0,100000.0,0.0,
2026-07-10T02:00:28.220997+00:00,100000.0,30000.0,70000.0,0.0,0.0,100000.0,0.0,
2026-07-10T02:10:44.107126+00:00,100000.0,30000.0,70000.0,0.0,0.0,100000.0,0.0,
2026-07-10T02:55:43.487956+00:00,100000.0,30000.0,70000.0,0.0,0.0,100000.0,0.0,
2026-07-10T03:12:22.485928+00:00,100000.0,30000.0,70000.0,0.0,0.0,100000.0,0.0,
2026-07-10T03:47:03.208163+00:00,100000.0,30000.0,70000.0,0.0,0.0,100000.0,0.0,
2026-07-10T04:34:34.728518+00:00,100000.0,30000.0,70000.0,0.0,0.0,100000.0,0.0,
2026-07-10T05:06:35.163405+00:00,100000.0,30000.0,70000.0,0.0,0.0,100000.0,0.0,
2026-07-10T05:32:58.373278+00:00,100000.0,30000.0,70000.0,0.0,0.0,100000.0,0.0,
2026-07-10T06:16:40.852757+00:00,100000.0,30000.0,70000.0,0.0,0.0,100000.0,0.0,
2026-07-10T06:59:24.092204+00:00,100000.0,30000.0,70000.0,0.0,0.0,100000.0,0.0,
2026-07-10T07:22:02.639087+00:00,100000.0,30000.0,70000.0,0.0,0.0,100000.0,0.0,
2026-07-10T07:46:04.090074+00:00,100000.0,30000.0,70000.0,0.0,0.0,100000.0,0.0,
2026-07-10T10:24:59.304247+00:00,100000.0,30000.0,70000.0,0.0,0.0,100000.0,0.0,
2026-07-10T11:14:06.210022+00:00,100000.0,30000.0,70000.0,0.0,0.0,100000.0,0.0,
