asset,side,quantity,cost_basis,weight,current_price,avg_entry_price,market_value,portfolio_weight,unrealized_pnl,unrealized_pnl_pct,source
BTC-USD,LONG,0.5172749021516987,35005.5,0.350055,67672.9140625,67672.9140625,35005.5,0.350055,0.0,0.0,broker_ledger_v4_1
ETH-USD,LONG,16.943127817550952,34994.5,0.349945,2065.40966796875,2065.40966796875,34994.5,0.349945,0.0,0.0,broker_ledger_v4_1
