asset,tier,sector,required_core,enabled,approved,status,observation_count,latest_timestamp,stale_days,latest_close,missing_close_ratio,average_daily_dollar_volume,median_daily_dollar_volume,failure_reasons,source
SUI-USD,EXPANDED,emerging_layer_1,False,True,False,REJECTED,0,,,0.0,1.0,0.0,0.0,"['fetch_error:empty_download', 'insufficient_observations', 'price_below_minimum', 'median_dollar_volume_below_minimum', 'average_dollar_volume_below_minimum', 'stale_market_data', 'excessive_missing_close_data']",market_universe_v1
HYPE-USD,OPTIONAL,derivatives_ecosystem,False,True,False,REJECTED,49,2024-08-27T00:00:00+00:00,682.0,4.999999873689376e-06,0.0,1117.35,621.0,"['insufficient_observations', 'price_below_minimum', 'median_dollar_volume_below_minimum', 'average_dollar_volume_below_minimum', 'stale_market_data']",market_universe_v1
