timestamp,asset,timeframe,open,high,low,close,volume,dollar_volume,provider,fetched_at
2026-05-12 00:00:00+00:00,BTC-USD,15m,81715.28125,81770.6171875,81595.5,81595.5078125,0,0,yfinance,2026-07-10T06:57:54.622884+00:00
2026-05-12 00:15:00+00:00,BTC-USD,15m,81585.78125,81652.4296875,81498.6328125,81543.9765625,0,0,yfinance,2026-07-10T06:57:54.622884+00:00
2026-05-12 00:30:00+00:00,BTC-USD,15m,81543.9921875,81634.25,81462.390625,81474.5,60854272,60854272,yfinance,2026-07-10T06:57:54.622884+00:00
2026-05-12 00:45:00+00:00,BTC-USD,15m,81472.640625,81572.921875,81472.6328125,81528.203125,41584640,41584640,yfinance,2026-07-10T06:57:54.622884+00:00
2026-05-12 01:00:00+00:00,BTC-USD,15m,81528.171875,81603.953125,81367.6328125,81375.859375,0,0,yfinance,2026-07-10T06:57:54.622884+00:00
2026-05-12 01:15:00+00:00,BTC-USD,15m,81375.8671875,81446.390625,81252.4765625,81352.6484375,13240320,13240320,yfinance,2026-07-10T06:57:54.622884+00:00
2026-05-12 01:30:00+00:00,BTC-USD,15m,81300.6015625,81320.28125,80697.9921875,81042.0,237371392,237371392,yfinance,2026-07-10T06:57:54.622884+00:00
2026-05-12 01:45:00+00:00,BTC-USD,15m,81027.1484375,81294.0,80997.96875,81176.7265625,698675200,698675200,yfinance,2026-07-10T06:57:54.622884+00:00
2026-05-12 02:00:00+00:00,BTC-USD,15m,81167.109375,81318.0,81140.3671875,81294.8984375,14174208,14174208,yfinance,2026-07-10T06:57:54.622884+00:00
2026-05-12 02:15:00+00:00,BTC-USD,15m,81298.796875,81298.796875,81075.1875,81248.0,41050112,41050112,yfinance,2026-07-10T06:57:54.622884+00:00
2026-05-12 02:30:00+00:00,BTC-USD,15m,81256.46875,81258.0,81076.7421875,81109.96875,1624064,1624064,yfinance,2026-07-10T06:57:54.622884+00:00
2026-05-12 02:45:00+00:00,BTC-USD,15m,81122.6875,81264.59375,81122.6875,81235.0390625,183988224,183988224,yfinance,2026-07-10T06:57:54.622884+00:00
2026-05-12 03:00:00+00:00,BTC-USD,15m,81235.0390625,81272.7890625,81161.9921875,81202.8203125,0,0,yfinance,2026-07-10T06:57:54.622884+00:00
2026-05-12 03:15:00+00:00,BTC-USD,15m,81202.8203125,81220.296875,81124.0390625,81148.15625,14346240,14346240,yfinance,2026-07-10T06:57:54.622884+00:00
2026-05-12 03:30:00+00:00,BTC-USD,15m,81152.4765625,81199.25,81137.0703125,81172.453125,0,0,yfinance,2026-07-10T06:57:54.622884+00:00
2026-05-12 03:45:00+00:00,BTC-USD,15m,81176.90625,81176.90625,81001.203125,81036.0078125,632872960,632872960,yfinance,2026-07-10T06:57:54.622884+00:00
2026-05-12 04:00:00+00:00,BTC-USD,15m,81020.1484375,81055.0,80980.0,80980.0078125,0,0,yfinance,2026-07-10T06:57:54.622884+00:00
2026-05-12 04:15:00+00:00,BTC-USD,15m,80980.0,81204.0,80972.046875,81183.546875,3639296,3639296,yfinance,2026-07-10T06:57:54.622884+00:00
2026-05-12 04:30:00+00:00,BTC-USD,15m,81185.546875,81263.5703125,81170.671875,81222.7265625,210182144,210182144,yfinance,2026-07-10T06:57:54.622884+00:00
2026-05-12 04:45:00+00:00,BTC-USD,15m,81222.71875,81282.0,81188.8515625,81203.9765625,0,0,yfinance,2026-07-10T06:57:54.622884+00:00
2026-05-12 05:00:00+00:00,BTC-USD,15m,81205.6015625,81260.0,81167.640625,81204.0,154671104,154671104,yfinance,2026-07-10T06:57:54.622884+00:00
2026-05-12 05:15:00+00:00,BTC-USD,15m,81209.9921875,81266.2734375,81199.6328125,81263.0390625,27090944,27090944,yfinance,2026-07-10T06:57:54.622884+00:00
2026-05-12 05:30:00+00:00,BTC-USD,15m,81263.046875,81288.828125,81165.03125,81228.25,74627072,74627072,yfinance,2026-07-10T06:57:54.622884+00:00
2026-05-12 05:45:00+00:00,BTC-USD,15m,81231.4765625,81265.40625,81191.4765625,81200.0078125,0,0,yfinance,2026-07-10T06:57:54.622884+00:00
2026-05-12 06:00:00+00:00,BTC-USD,15m,81194.90625,81244.2890625,81157.6875,81221.9765625,53463040,53463040,yfinance,2026-07-10T06:57:54.622884+00:00
2026-05-12 06:15:00+00:00,BTC-USD,15m,81221.9765625,81282.78125,81187.3671875,81187.3671875,28999680,28999680,yfinance,2026-07-10T06:57:54.622884+00:00
2026-05-12 06:30:00+00:00,BTC-USD,15m,81192.25,81192.25,81052.6015625,81072.2734375,22102016,22102016,yfinance,2026-07-10T06:57:54.622884+00:00
2026-05-12 06:45:00+00:00,BTC-USD,15m,81068.1015625,81103.9921875,80981.8203125,80997.0390625,91338752,91338752,yfinance,2026-07-10T06:57:54.622884+00:00
2026-05-12 07:00:00+00:00,BTC-USD,15m,80978.2109375,81077.390625,80858.9296875,81047.953125,36648960,36648960,yfinance,2026-07-10T06:57:54.622884+00:00
2026-05-12 07:15:00+00:00,BTC-USD,15m,81047.9375,81106.1328125,80880.8125,80992.171875,198400000,198400000,yfinance,2026-07-10T06:57:54.622884+00:00
2026-05-12 07:30:00+00:00,BTC-USD,15m,80999.640625,81065.0,80917.140625,80917.46875,49369088,49369088,yfinance,2026-07-10T06:57:54.622884+00:00
2026-05-12 07:45:00+00:00,BTC-USD,15m,80917.46875,80950.9296875,80819.1484375,80829.9375,352833536,352833536,yfinance,2026-07-10T06:57:54.622884+00:00
2026-05-12 08:00:00+00:00,BTC-USD,15m,80815.9609375,80909.7265625,80766.0,80798.4921875,57495552,57495552,yfinance,2026-07-10T06:57:54.622884+00:00
2026-05-12 08:15:00+00:00,BTC-USD,15m,80785.03125,80910.0,80733.0625,80847.5078125,195094528,195094528,yfinance,2026-07-10T06:57:54.622884+00:00
2026-05-12 08:30:00+00:00,BTC-USD,15m,80838.328125,80934.0390625,80813.8984375,80923.7734375,42416128,42416128,yfinance,2026-07-10T06:57:54.622884+00:00
2026-05-12 08:45:00+00:00,BTC-USD,15m,80917.34375,80937.1328125,80807.7578125,80807.7578125,77068288,77068288,yfinance,2026-07-10T06:57:54.622884+00:00
2026-05-12 09:00:00+00:00,BTC-USD,15m,80801.25,80869.6796875,80733.3125,80741.0078125,165038080,165038080,yfinance,2026-07-10T06:57:54.622884+00:00
2026-05-12 09:15:00+00:00,BTC-USD,15m,80739.5078125,80773.4375,80688.0,80713.2265625,140576768,140576768,yfinance,2026-07-10T06:57:54.622884+00:00
2026-05-12 09:30:00+00:00,BTC-USD,15m,80730.1875,80929.3125,80723.6484375,80901.7265625,82970624,82970624,yfinance,2026-07-10T06:57:54.622884+00:00
2026-05-12 09:45:00+00:00,BTC-USD,15m,80892.671875,80922.3984375,80776.71875,80799.703125,158087168,158087168,yfinance,2026-07-10T06:57:54.622884+00:00
2026-05-12 10:00:00+00:00,BTC-USD,15m,80799.703125,80805.0,80736.40625,80772.5234375,50769920,50769920,yfinance,2026-07-10T06:57:54.622884+00:00
2026-05-12 10:15:00+00:00,BTC-USD,15m,80770.5,80800.0,80654.7265625,80694.3203125,0,0,yfinance,2026-07-10T06:57:54.622884+00:00
2026-05-12 10:30:00+00:00,BTC-USD,15m,80702.296875,80721.0,80607.4375,80659.296875,196325376,196325376,yfinance,2026-07-10T06:57:54.622884+00:00
2026-05-12 10:45:00+00:00,BTC-USD,15m,80659.296875,80680.578125,80599.9765625,80643.390625,115359744,115359744,yfinance,2026-07-10T06:57:54.622884+00:00
2026-05-12 11:00:00+00:00,BTC-USD,15m,80664.0,80667.8125,80505.0,80560.109375,126054400,126054400,yfinance,2026-07-10T06:57:54.622884+00:00
2026-05-12 11:15:00+00:00,BTC-USD,15m,80560.109375,80634.03125,80471.8984375,80615.5703125,209436672,209436672,yfinance,2026-07-10T06:57:54.622884+00:00
2026-05-12 11:30:00+00:00,BTC-USD,15m,80624.109375,80715.328125,80615.5078125,80710.0234375,227635200,227635200,yfinance,2026-07-10T06:57:54.622884+00:00
2026-05-12 11:45:00+00:00,BTC-USD,15m,80710.0,80764.296875,80685.6875,80764.296875,339154944,339154944,yfinance,2026-07-10T06:57:54.622884+00:00
2026-05-12 12:00:00+00:00,BTC-USD,15m,80755.3203125,80826.3203125,80675.65625,80798.9765625,100446208,100446208,yfinance,2026-07-10T06:57:54.622884+00:00
2026-05-12 12:15:00+00:00,BTC-USD,15m,80799.9921875,80826.2421875,80717.796875,80784.84375,188735488,188735488,yfinance,2026-07-10T06:57:54.622884+00:00
2026-05-12 12:30:00+00:00,BTC-USD,15m,80853.8203125,80983.078125,80593.4765625,80836.2578125,170852352,170852352,yfinance,2026-07-10T06:57:54.622884+00:00
2026-05-12 12:45:00+00:00,BTC-USD,15m,80832.5078125,80959.6015625,80831.9375,80862.5390625,281999360,281999360,yfinance,2026-07-10T06:57:54.622884+00:00
2026-05-12 13:00:00+00:00,BTC-USD,15m,80862.5390625,80910.6484375,80778.2734375,80778.2734375,80027648,80027648,yfinance,2026-07-10T06:57:54.622884+00:00
2026-05-12 13:15:00+00:00,BTC-USD,15m,80776.140625,80788.9609375,80603.2890625,80631.0,67973120,67973120,yfinance,2026-07-10T06:57:54.622884+00:00
2026-05-12 13:30:00+00:00,BTC-USD,15m,80590.0078125,80798.2421875,80559.703125,80745.6875,160757760,160757760,yfinance,2026-07-10T06:57:54.622884+00:00
2026-05-12 13:45:00+00:00,BTC-USD,15m,80749.9921875,80857.2890625,80385.9765625,80432.2734375,159014912,159014912,yfinance,2026-07-10T06:57:54.622884+00:00
2026-05-12 14:00:00+00:00,BTC-USD,15m,80407.8125,80699.1875,80359.90625,80686.796875,332988416,332988416,yfinance,2026-07-10T06:57:54.622884+00:00
