name_a,name_b,cipher,kamea,overall_resonance,node_similarity,edge_similarity,node_weight_similarity,edge_weight_similarity,vector_similarity,alignment_similarity,node_overlap_ratio,edge_overlap_ratio,shared_node_count,shared_edge_count,unique_nodes_a,unique_nodes_b,unique_edges_a,unique_edges_b
Michael Elvis Brockway,Lance Dean Folks,ordinal,moon,0.40782575306245433,0.3888888888888889,0.0,0.3611111111111111,0.0,0.9955656294858372,0.7013888888888888,0.3888888888888889,0.0,7,0,8,3,18,12
Michael Elvis Brockway,Lance Dean Folks,hebrew_literal,saturn,0.5374632736526341,1.0,0.07692307692307693,0.7041666666666666,0.057692307692307696,0.9797475906337538,0.40625,1.0,0.07692307692307693,8,2,0,0,14,10
Michael Elvis Brockway,Lance Dean Folks,hebrew_literal,jupiter,0.4018197253013276,0.7,0.0,0.5833333333333333,0.0,0.956751685141299,0.17083333333333334,0.7,0.0,7,0,2,1,18,11
Michael Elvis Brockway,Lance Dean Folks,hebrew_literal,mars,0.42356848882108195,0.5,0.041666666666666664,0.32999999999999996,0.041666666666666664,0.9447442662598252,0.6833333333333333,0.5,0.041666666666666664,5,1,4,1,15,8
Michael Elvis Brockway,Lance Dean Folks,hebrew_literal,sun,0.44873632132362257,0.6666666666666666,0.0,0.625,0.0,0.9861679279417356,0.4145833333333333,0.6666666666666666,0.0,8,0,3,1,18,12
Michael Elvis Brockway,Lance Dean Folks,hebrew_literal,venus,0.43125269266028093,0.5384615384615384,0.0,0.4743589743589744,0.0,0.981746925192455,0.592948717948718,0.5384615384615384,0.0,7,0,5,1,18,12
Michael Elvis Brockway,Lance Dean Folks,hebrew_literal,mercury,0.3618452713601337,0.46153846153846156,0.0,0.38461538461538464,0.0,0.975558807647982,0.3493589743589744,0.46153846153846156,0.0,6,0,4,3,18,12
Michael Elvis Brockway,Lance Dean Folks,hebrew_literal,moon,0.3548898912542602,0.4,0.0,0.3777777777777778,0.0,0.990450458636672,0.3611111111111111,0.4,0.0,6,0,6,3,18,12
Michael Elvis Brockway,Lance Dean Folks,hebrew_phonetic,saturn,0.5374632736526341,1.0,0.07692307692307693,0.7041666666666666,0.057692307692307696,0.9797475906337538,0.40625,1.0,0.07692307692307693,8,2,0,0,14,10
Michael Elvis Brockway,Lance Dean Folks,hebrew_phonetic,jupiter,0.4018197253013276,0.7,0.0,0.5833333333333333,0.0,0.956751685141299,0.17083333333333334,0.7,0.0,7,0,2,1,18,11
Michael Elvis Brockway,Lance Dean Folks,hebrew_phonetic,mars,0.42356848882108195,0.5,0.041666666666666664,0.32999999999999996,0.041666666666666664,0.9447442662598252,0.6833333333333333,0.5,0.041666666666666664,5,1,4,1,15,8
Michael Elvis Brockway,Lance Dean Folks,hebrew_phonetic,sun,0.44873632132362257,0.6666666666666666,0.0,0.625,0.0,0.9861679279417356,0.4145833333333333,0.6666666666666666,0.0,8,0,3,1,18,12
Michael Elvis Brockway,Lance Dean Folks,hebrew_phonetic,venus,0.43125269266028093,0.5384615384615384,0.0,0.4743589743589744,0.0,0.981746925192455,0.592948717948718,0.5384615384615384,0.0,7,0,5,1,18,12
Michael Elvis Brockway,Lance Dean Folks,hebrew_phonetic,mercury,0.3618452713601337,0.46153846153846156,0.0,0.38461538461538464,0.0,0.975558807647982,0.3493589743589744,0.46153846153846156,0.0,6,0,4,3,18,12
Michael Elvis Brockway,Lance Dean Folks,hebrew_phonetic,moon,0.3548898912542602,0.4,0.0,0.3777777777777778,0.0,0.990450458636672,0.3611111111111111,0.4,0.0,6,0,6,3,18,12
Michael Elvis Brockway,River Christian Tremblay,ordinal,saturn,0.5826678345409365,0.8888888888888888,0.25,0.7328042328042329,0.21428571428571427,0.9859540971927085,0.42407407407407405,0.8888888888888888,0.25,8,7,1,0,10,11
Michael Elvis Brockway,River Christian Tremblay,ordinal,jupiter,0.48894345702742986,0.6428571428571429,0.08823529411764706,0.5226190476190476,0.07352941176470588,0.9903484172346074,0.6160714285714286,0.6428571428571429,0.08823529411764706,9,3,3,2,14,17
Michael Elvis Brockway,River Christian Tremblay,ordinal,mars,0.47358518211406686,0.7058823529411765,0.08571428571428572,0.5833333333333334,0.08571428571428572,0.9911609526283791,0.38970588235294124,0.7058823529411765,0.08571428571428572,12,3,3,2,15,17
Michael Elvis Brockway,River Christian Tremblay,ordinal,sun,0.47358518211406686,0.7058823529411765,0.08571428571428572,0.5833333333333334,0.08571428571428572,0.9911609526283791,0.38970588235294124,0.7058823529411765,0.08571428571428572,12,3,3,2,15,17
