source_row,source_col,target_row,target_col,weight
1,6,0,7,1
0,7,4,0,1
4,0,0,3,1
0,3,7,4,1
7,4,5,3,1
5,3,4,5,1
4,5,0,3,1
0,3,0,0,1
0,0,5,3,1
5,3,4,0,1
4,0,0,7,1
0,7,3,0,1
3,0,7,5,1
7,5,0,3,1
0,3,4,5,1
4,5,4,5,1
