timestamp,position_count,risky_weight,cash_weight,initial_equity,current_equity,pnl,pnl_pct,reserved_cash_weight,source,broker_fill_count
2026-07-08T22:16:30.458325+00:00,2,0.41436,0.508328,100000.0,92268.76,-7731.24,-0.077312,,,
2026-07-08T22:40:28.576411+00:00,2,0.41436,0.508328,100000.0,99916.96,-83.04,-0.00083,0.076482,,
2026-07-09T03:20:45.269914+00:00,2,0.41436,0.508328,100000.0,99916.96,-83.04,-0.00083,0.076482,,
2026-07-09T03:30:07.873201+00:00,2,0.41436,0.508328,100000.0,99916.96,-83.04,-0.00083,0.076482,,
2026-07-09T04:38:47.420635+00:00,2,0.41436,0.508328,100000.0,99916.96,-83.04,-0.00083,0.076482,,
2026-07-09T04:49:51.484208+00:00,2,0.41436,0.508328,100000.0,99916.96,-83.04,-0.00083,0.076482,,
2026-07-09T05:04:03.734619+00:00,2,0.41436,0.508328,100000.0,99916.96,-83.04,-0.00083,0.076482,,
2026-07-09T05:24:30.027850+00:00,2,0.41436,0.508328,100000.0,99916.96,-83.04,-0.00083,0.076482,,
2026-07-09T05:40:55.139884+00:00,2,0.41436,0.508328,100000.0,99916.96,-83.04,-0.00083,0.076482,,
2026-07-09T05:56:40.002660+00:00,2,0.41436,0.508328,100000.0,99916.96,-83.04,-0.00083,0.076482,,
2026-07-09T06:17:12.082308+00:00,2,0.41436,0.508328,100000.0,99916.96,-83.04,-0.00083,0.076482,,
2026-07-09T06:29:58.614140+00:00,2,0.41436,0.508328,100000.0,99916.96,-83.04,-0.00083,0.076482,,
2026-07-09T07:00:46.355539+00:00,2,0.41436,0.508328,100000.0,99916.96,-83.04,-0.00083,0.076482,,
2026-07-09T07:34:09.848382+00:00,2,0.41519,0.58481,100000.0,100000.0,0.0,0.0,0.0,portfolio_state_v2,2.0
2026-07-09T07:34:56.358277+00:00,2,0.41519,0.58481,100000.0,100000.0,0.0,0.0,0.0,portfolio_state_v2,2.0
