source_row,source_col,target_row,target_col,weight
3,2,2,4,1
2,4,4,3,2
4,3,6,5,1
6,5,1,0,1
1,0,5,4,1
5,4,2,4,1
2,4,1,0,1
1,0,1,1,1
1,1,3,5,1
3,5,4,6,1
4,6,1,0,1
1,0,2,4,2
2,4,3,0,1
3,0,5,0,1
5,0,2,4,1
2,4,2,4,1
4,3,3,3,1
3,3,5,2,1
5,2,6,1,1
6,1,0,2,1
0,2,0,2,1
0,2,1,0,1
