asset,side,action,requested_weight,execution_gate,safety_status,risk_label,validation_status,validation_errors,source,reason,execution_batch_id,execution_id,stable_order_key,execution_priority,execution_status,fee_bps,slippage_bps,fee_drag,slippage_drag,total_cost_drag,fill_status,filled_weight,fill_timestamp,broker_route
ETH-USD,LONG,SELL,0.087445,OPEN,APPROVED_WITH_WARNINGS,low_risk,VALID,,rebalance_engine_v4,Move Portfolio State v4 current weights toward Alpha Portfolio v3 adaptive targets.,339e4e0c-6117-4034-ae7b-a5c6a8804fcb,339e4e0c-6117-4034-ae7b-a5c6a8804fcb::2,ETH-USD:LONG:SELL:0.087445,2,DUPLICATE_TARGET,,,,,,NO_FILL,0.0,,
BTC-USD,LONG,SELL,0.087555,OPEN,APPROVED_WITH_WARNINGS,low_risk,VALID,,rebalance_engine_v4,Move Portfolio State v4 current weights toward Alpha Portfolio v3 adaptive targets.,0a512e9a-223b-4b50-b7ab-70b1d8e7cc22,0a512e9a-223b-4b50-b7ab-70b1d8e7cc22::1,BTC-USD:LONG:SELL:0.087555,1,DUPLICATE_TARGET,,,,,,NO_FILL,0.0,,
ETH-USD,LONG,SELL,0.087445,OPEN,APPROVED_WITH_WARNINGS,low_risk,VALID,,rebalance_engine_v4,Move Portfolio State v4 current weights toward Alpha Portfolio v3 adaptive targets.,0a512e9a-223b-4b50-b7ab-70b1d8e7cc22,0a512e9a-223b-4b50-b7ab-70b1d8e7cc22::2,ETH-USD:LONG:SELL:0.087445,2,DUPLICATE_TARGET,,,,,,NO_FILL,0.0,,
BTC-USD,LONG,SELL,0.087555,OPEN,APPROVED_WITH_WARNINGS,low_risk,VALID,,rebalance_engine_v4,Move Portfolio State v4 current weights toward Alpha Portfolio v3 adaptive targets.,ab6ab73f-c160-498f-9fc3-b34cbc64452c,ab6ab73f-c160-498f-9fc3-b34cbc64452c::1,BTC-USD:LONG:SELL:0.087555,1,DUPLICATE_TARGET,,,,,,NO_FILL,0.0,,
ETH-USD,LONG,SELL,0.087445,OPEN,APPROVED_WITH_WARNINGS,low_risk,VALID,,rebalance_engine_v4,Move Portfolio State v4 current weights toward Alpha Portfolio v3 adaptive targets.,ab6ab73f-c160-498f-9fc3-b34cbc64452c,ab6ab73f-c160-498f-9fc3-b34cbc64452c::2,ETH-USD:LONG:SELL:0.087445,2,DUPLICATE_TARGET,,,,,,NO_FILL,0.0,,
BTC-USD,LONG,SELL,0.087555,OPEN,APPROVED_WITH_WARNINGS,low_risk,VALID,,rebalance_engine_v4,Move Portfolio State v4 current weights toward Alpha Portfolio v3 adaptive targets.,b18e1482-3468-4a32-a92d-20daedf741b1,b18e1482-3468-4a32-a92d-20daedf741b1::1,BTC-USD:LONG:SELL:0.087555,1,DUPLICATE_TARGET,,,,,,NO_FILL,0.0,,
ETH-USD,LONG,SELL,0.087445,OPEN,APPROVED_WITH_WARNINGS,low_risk,VALID,,rebalance_engine_v4,Move Portfolio State v4 current weights toward Alpha Portfolio v3 adaptive targets.,b18e1482-3468-4a32-a92d-20daedf741b1,b18e1482-3468-4a32-a92d-20daedf741b1::2,ETH-USD:LONG:SELL:0.087445,2,DUPLICATE_TARGET,,,,,,NO_FILL,0.0,,
BTC-USD,LONG,SELL,0.087555,OPEN,APPROVED_WITH_WARNINGS,low_risk,VALID,,rebalance_engine_v4,Move Portfolio State v4 current weights toward Alpha Portfolio v3 adaptive targets.,62fd30a6-0933-49b7-9ac4-f83813eb467c,62fd30a6-0933-49b7-9ac4-f83813eb467c::1,BTC-USD:LONG:SELL:0.087555,1,DUPLICATE_TARGET,,,,,,NO_FILL,0.0,,
ETH-USD,LONG,SELL,0.087445,OPEN,APPROVED_WITH_WARNINGS,low_risk,VALID,,rebalance_engine_v4,Move Portfolio State v4 current weights toward Alpha Portfolio v3 adaptive targets.,62fd30a6-0933-49b7-9ac4-f83813eb467c,62fd30a6-0933-49b7-9ac4-f83813eb467c::2,ETH-USD:LONG:SELL:0.087445,2,DUPLICATE_TARGET,,,,,,NO_FILL,0.0,,
BTC-USD,LONG,SELL,0.087555,OPEN,APPROVED_WITH_WARNINGS,low_risk,VALID,,rebalance_engine_v4,Move Portfolio State v4 current weights toward Alpha Portfolio v3 adaptive targets.,4be2eab0-24bc-40a1-8458-50cfd91c29b5,4be2eab0-24bc-40a1-8458-50cfd91c29b5::1,BTC-USD:LONG:SELL:0.087555,1,DUPLICATE_TARGET,,,,,,NO_FILL,0.0,,
ETH-USD,LONG,SELL,0.087445,OPEN,APPROVED_WITH_WARNINGS,low_risk,VALID,,rebalance_engine_v4,Move Portfolio State v4 current weights toward Alpha Portfolio v3 adaptive targets.,4be2eab0-24bc-40a1-8458-50cfd91c29b5,4be2eab0-24bc-40a1-8458-50cfd91c29b5::2,ETH-USD:LONG:SELL:0.087445,2,DUPLICATE_TARGET,,,,,,NO_FILL,0.0,,
BTC-USD,LONG,SELL,0.087555,OPEN,APPROVED_WITH_WARNINGS,low_risk,VALID,,rebalance_engine_v4,Move Portfolio State v4 current weights toward Alpha Portfolio v3 adaptive targets.,18f1d524-7046-48e0-89c9-8b231b46c768,18f1d524-7046-48e0-89c9-8b231b46c768::1,BTC-USD:LONG:SELL:0.087555,1,DUPLICATE_TARGET,,,,,,NO_FILL,0.0,,
ETH-USD,LONG,SELL,0.087445,OPEN,APPROVED_WITH_WARNINGS,low_risk,VALID,,rebalance_engine_v4,Move Portfolio State v4 current weights toward Alpha Portfolio v3 adaptive targets.,18f1d524-7046-48e0-89c9-8b231b46c768,18f1d524-7046-48e0-89c9-8b231b46c768::2,ETH-USD:LONG:SELL:0.087445,2,DUPLICATE_TARGET,,,,,,NO_FILL,0.0,,
BTC-USD,LONG,SELL,0.175028,OPEN,APPROVED_WITH_WARNINGS,low_risk,VALID,,rebalance_engine_v4,Move Portfolio State v4 current weights toward Alpha Portfolio v3 adaptive targets. Turnover scaled to v4 cap.,788d8f02-fbd8-46fc-aec2-1b6b978368b1,788d8f02-fbd8-46fc-aec2-1b6b978368b1::1,BTC-USD:LONG:SELL:0.175028,1,EXECUTED_SIMULATED,8.0,12.0,0.00014002,0.00021003,0.00035006,FILLED_SIMULATED,0.174678,2026-07-10T10:25:14.180126+00:00,paper_broker_v3_ready
ETH-USD,LONG,SELL,0.174973,OPEN,APPROVED_WITH_WARNINGS,low_risk,VALID,,rebalance_engine_v4,Move Portfolio State v4 current weights toward Alpha Portfolio v3 adaptive targets. Turnover scaled to v4 cap.,788d8f02-fbd8-46fc-aec2-1b6b978368b1,788d8f02-fbd8-46fc-aec2-1b6b978368b1::2,ETH-USD:LONG:SELL:0.174973,2,EXECUTED_SIMULATED,8.0,12.0,0.00013998,0.00020997,0.00034995,FILLED_SIMULATED,0.174623,2026-07-10T10:25:14.180148+00:00,paper_broker_v3_ready
BNB-USD,LONG,BUY,0.080607,OPEN,APPROVED_WITH_WARNINGS,low_risk,VALID,,rebalance_engine_v4,Move Portfolio State v4 current weights toward Alpha Portfolio v3 adaptive targets. Turnover scaled to v4 cap.,2e97fbb3-4a13-44d8-9570-bf993536993a,2e97fbb3-4a13-44d8-9570-bf993536993a::1,BNB-USD:LONG:BUY:0.080607,1,EXECUTED_SIMULATED,8.0,12.0,6.449e-05,9.673e-05,0.00016121,FILLED_SIMULATED,0.080446,2026-07-10T11:14:27.835843+00:00,paper_broker_v3_ready
BTC-USD,LONG,SELL,0.094246,OPEN,APPROVED_WITH_WARNINGS,low_risk,VALID,,rebalance_engine_v4,Move Portfolio State v4 current weights toward Alpha Portfolio v3 adaptive targets. Turnover scaled to v4 cap.,2e97fbb3-4a13-44d8-9570-bf993536993a,2e97fbb3-4a13-44d8-9570-bf993536993a::2,BTC-USD:LONG:SELL:0.094246,2,EXECUTED_SIMULATED,8.0,12.0,7.54e-05,0.0001131,0.00018849,FILLED_SIMULATED,0.094058,2026-07-10T11:14:27.835872+00:00,paper_broker_v3_ready
ETH-USD,LONG,SELL,0.094216,OPEN,APPROVED_WITH_WARNINGS,low_risk,VALID,,rebalance_engine_v4,Move Portfolio State v4 current weights toward Alpha Portfolio v3 adaptive targets. Turnover scaled to v4 cap.,2e97fbb3-4a13-44d8-9570-bf993536993a,2e97fbb3-4a13-44d8-9570-bf993536993a::3,ETH-USD:LONG:SELL:0.094216,3,EXECUTED_SIMULATED,8.0,12.0,7.537e-05,0.00011306,0.00018843,FILLED_SIMULATED,0.094028,2026-07-10T11:14:27.835885+00:00,paper_broker_v3_ready
LINK-USD,LONG,BUY,0.080932,OPEN,APPROVED_WITH_WARNINGS,low_risk,VALID,,rebalance_engine_v4,Move Portfolio State v4 current weights toward Alpha Portfolio v3 adaptive targets. Turnover scaled to v4 cap.,2e97fbb3-4a13-44d8-9570-bf993536993a,2e97fbb3-4a13-44d8-9570-bf993536993a::4,LINK-USD:LONG:BUY:0.080932,4,EXECUTED_SIMULATED,8.0,12.0,6.475e-05,9.712e-05,0.00016186,FILLED_SIMULATED,0.08077,2026-07-10T11:14:27.835895+00:00,paper_broker_v3_ready
