source_row,source_col,target_row,target_col,weight
0,6,4,3,1
4,3,7,6,1
7,6,3,2,1
3,2,5,4,1
5,4,0,8,1
0,8,8,5,2
8,5,0,8,2
8,5,1,5,1
1,5,4,3,1
4,3,7,2,1
7,2,6,5,1
6,5,5,2,1
5,2,2,8,1
2,8,7,6,1
7,6,7,4,1
7,4,2,6,1
2,6,5,4,1
5,4,4,8,1
5,4,1,7,3
1,7,8,3,1
8,3,2,8,1
2,8,1,7,1
1,7,4,3,1
4,3,2,8,1
2,8,6,5,1
6,5,5,4,1
5,4,8,5,1
8,5,8,5,1
0,8,7,2,1
7,2,8,3,1
8,3,0,8,1
0,8,5,2,1
8,5,5,4,1
1,7,7,6,1
7,6,0,8,1
0,8,8,7,1
8,7,0,8,1
0,8,5,4,1
1,7,1,0,1
1,0,2,8,1
2,8,8,5,1
8,5,7,4,1
7,4,7,2,1
