source_row,source_col,target_row,target_col,weight
7,2,0,3,2
0,3,7,5,2
7,5,0,0,1
0,0,7,2,1
7,5,0,7,1
0,7,7,4,1
7,4,0,0,1
0,0,1,6,1
1,6,6,6,1
6,6,7,2,1
7,2,6,7,1
6,7,7,5,1
7,5,6,6,1
