timestamp,success,mode,current_equity,pnl,pnl_pct,risky_weight,cash_weight,reserved_cash_weight,gross_exposure,net_exposure,direction,confidence,target_net_exposure,risk_label,risky_position_count,pending_order_count
2026-07-09T03:47:59.522931+00:00,True,paper,99916.96,-83.04,-0.00083,0.41436,0.508328,0.076482,0.41436,0.41436,LONG,0.819455,0.491673,moderate_risk,2,2
2026-07-09T04:38:51.128731+00:00,True,paper,99916.96,-83.04,-0.00083,0.41436,0.508328,0.076482,0.41436,0.41436,LONG,0.819455,0.491673,moderate_risk,2,2
2026-07-09T04:49:55.008359+00:00,True,paper,99916.96,-83.04,-0.00083,0.41436,0.508328,0.076482,0.41436,0.41436,LONG,0.819455,0.491673,moderate_risk,2,2
2026-07-09T05:04:07.226055+00:00,True,paper,99916.96,-83.04,-0.00083,0.41436,0.508328,0.076482,0.41436,0.41436,LONG,0.819455,0.491673,moderate_risk,2,2
2026-07-09T05:24:32.412835+00:00,True,paper,99916.96,-83.04,-0.00083,0.41436,0.508328,0.076482,0.41436,0.41436,LONG,0.819455,0.491673,moderate_risk,2,2
2026-07-09T05:40:57.554554+00:00,True,paper,99916.96,-83.04,-0.00083,0.41436,0.508328,0.076482,0.41436,0.41436,LONG,0.819455,0.491673,moderate_risk,2,2
2026-07-09T05:56:42.399954+00:00,True,paper,99916.96,-83.04,-0.00083,0.41436,0.508328,0.076482,0.41436,0.41436,LONG,0.819455,0.491673,moderate_risk,2,2
2026-07-09T06:17:14.455938+00:00,True,paper,99916.96,-83.04,-0.00083,0.41436,0.508328,0.076482,0.41436,0.41436,LONG,0.819455,0.491673,moderate_risk,2,2
2026-07-09T06:30:01.056904+00:00,True,paper,99916.96,-83.04,-0.00083,0.41436,0.508328,0.076482,0.41436,0.41436,LONG,0.819455,0.491673,moderate_risk,2,2
2026-07-09T07:00:02.045573+00:00,True,paper,100000.0,0.0,0.0,0.83038,0.16962,0.0,0.83038,0.83038,LONG,0.819455,0.491673,moderate_risk,2,2
2026-07-09T07:00:49.924790+00:00,True,paper,100000.0,0.0,0.0,0.83038,0.16962,0.0,0.83038,0.83038,LONG,0.819455,0.491673,moderate_risk,2,2
2026-07-09T07:17:03.154581+00:00,True,paper,100000.0,0.0,0.0,0.41519,0.58481,0.0,0.41519,0.41519,LONG,0.819455,0.491673,moderate_risk,2,2
