source_row,source_col,target_row,target_col,weight
3,1,4,2,2
4,2,0,0,1
0,0,5,1,1
5,1,3,1,1
3,1,3,1,1
3,1,1,4,1
1,4,3,1,1
4,2,2,5,1
2,5,5,3,1
5,3,4,2,1
4,2,0,5,1
0,5,2,1,1
2,1,5,3,1
5,3,3,1,1
3,1,5,1,1
5,1,5,3,1
5,3,5,4,1
5,4,1,5,1
1,5,0,5,1
0,5,4,2,1
