date,asset,open,high,low,close,volume,return_1,return_4,return_12,return_24,return_72,return_96,return_144,return_192,return_288,momentum_24_minus_72,momentum_72_minus_288,momentum_acceleration,rank_return_24,pct_rank_return_24,rank_return_72,pct_rank_return_72,rank_return_288,pct_rank_return_288,realized_vol_24,realized_vol_72,realized_vol_168,realized_vol_288,vol_compression_72_vs_288,vol_expansion_24_vs_72,true_range,atr_72,atr_pct_72
2020-01-01,BTC-USD,7194.89208984375,7254.33056640625,7174.9443359375,7200.17431640625,18565664997,,,,,,,,,,,,,,,,,,,,,,,,,79.38623046875,,
2020-01-02,BTC-USD,7202.55126953125,7212.1552734375,6935.27001953125,6985.47021484375,20802083465,-0.029819292162590716,,,,,,,,,,,,,,,,,,,,,,,,276.88525390625,,
2020-01-03,BTC-USD,6984.4287109375,7413.71533203125,6914.99609375,7344.88427734375,28111481032,0.05145166344511276,,,,,,,,,,,,,,,,,,,,,,,,498.71923828125,,
2020-01-04,BTC-USD,7345.37548828125,7427.3857421875,7309.51416015625,7410.65673828125,18444271275,0.008954866877941559,,,,,,,,,,,,,,,,,,,,,,,,117.87158203125,,
2020-01-05,BTC-USD,7410.45166015625,7544.4970703125,7400.53564453125,7411.3173828125,19725074095,8.914790612779555e-05,0.029324715920438393,,,,,,,,,,,,,,,,,,,,,,,143.96142578125,,
2020-01-06,BTC-USD,7410.4521484375,7781.8671875,7409.29296875,7769.21923828125,23276261598,0.04829126010697582,0.11219703174341444,,,,,,,,,,,,,,,,,,,,,,,372.57421875,,
2020-01-07,BTC-USD,7768.68212890625,8178.2158203125,7768.2275390625,8163.6923828125,28767291327,0.050773846435889336,0.11148005530794669,,,,,,,,,,,,,,,,,,,,,,,409.98828125,,
2020-01-08,BTC-USD,8161.935546875,8396.73828125,7956.7744140625,8079.86279296875,31672559265,-0.010268587535248286,0.09030320500888678,,,,,,,,,,,,,,,,,,,,,,,439.9638671875,,
2020-01-09,BTC-USD,8082.2958984375,8082.2958984375,7842.40380859375,7879.0712890625,24045990466,-0.024850855645838776,0.06311346311180288,,,,,,,,,,,,,,,,,,,,,,,239.89208984375,,
2020-01-10,BTC-USD,7878.3076171875,8166.55419921875,7726.77490234375,8166.55419921875,28714583844,0.03648690303834745,0.05114219958933752,,,,,,,,,,,,,,,,,,,,,,,439.779296875,,
2020-01-11,BTC-USD,8162.19091796875,8218.359375,8029.64208984375,8037.53759765625,25521165085,-0.015798168776598898,-0.015453152720679597,,,,,,,,,,,,,,,,,,,,,,,188.71728515625,,
2020-01-12,BTC-USD,8033.26171875,8200.0634765625,8009.05908203125,8192.494140625,22903438381,0.019279106453440997,0.013939759936797858,,,,,,,,,,,,,,,,,,,,,,,191.00439453125,,
2020-01-13,BTC-USD,8189.77197265625,8197.7880859375,8079.70068359375,8144.1943359375,22482910688,-0.005895616628883604,0.03364902247337653,0.131110717330859,,,,,,,,,,,,,,,,,,,,,,118.08740234375,,
2020-01-14,BTC-USD,8140.93310546875,8879.51171875,8140.93310546875,8827.7646484375,44841784107,0.08393344808628167,0.08096565982284232,0.26373234398437106,,,,,,,,,,,,,,,,,,,,,,738.57861328125,,
2020-01-15,BTC-USD,8825.34375,8890.1171875,8657.1875,8807.0107421875,40102834650,-0.002350980919464507,0.09573493562949298,0.1990673249071968,,,,,,,,,,,,,,,,,,,,,,232.9296875,,
2020-01-16,BTC-USD,8812.4814453125,8846.4609375,8612.095703125,8723.7861328125,31313981931,-0.009449813541879348,0.0648510677051235,0.17719474007587133,,,,,,,,,,,,,,,,,,,,,,234.365234375,,
2020-01-17,BTC-USD,8725.2099609375,8958.1220703125,8677.31640625,8929.0380859375,36372139320,0.02352785247141642,0.09636849485979937,0.2047842002617144,,,,,,,,,,,,,,,,,,,,,,280.8056640625,,
2020-01-18,BTC-USD,8927.2119140625,9012.1982421875,8827.33203125,8942.80859375,32337772627,0.0015422162701026476,0.01303205849884792,0.151056279849348,,,,,,,,,,,,,,,,,,,,,,184.8662109375,,
2020-01-19,BTC-USD,8941.4453125,9164.3623046875,8620.080078125,8706.2451171875,34217320471,-0.026452928527155417,-0.011441524025548322,0.06645923302025292,,,,,,,,,,,,,,,,,,,,,,544.2822265625,,
