date,asset,long_weight,short_weight,total_weight,net_long_score,strategy_count,active_strategies,ensemble_confidence,consensus_score,breadth_score,confidence_label
2024-08-05,SOL-USD,0.39942212428406393,0.0,0.39942212428406393,0.39942212428406393,4,"['breadth_positive_288_0_5', 'breadth_positive_288_0_66', 'leader_persistence_288_3', 'leader_persistence_288_8']",0.94,1.0,0.8,strong_ensemble_signal
2024-08-05,BTC-USD,0.15344188789566685,0.0,0.15344188789566685,0.15344188789566685,1,['leader_persistence_72_3'],0.76,1.0,0.2,moderate_ensemble_signal
2024-08-06,SOL-USD,0.39942212428406393,0.0,0.39942212428406393,0.39942212428406393,4,"['breadth_positive_288_0_5', 'breadth_positive_288_0_66', 'leader_persistence_288_3', 'leader_persistence_288_8']",0.94,1.0,0.8,strong_ensemble_signal
2024-08-07,SOL-USD,0.39942212428406393,0.0,0.39942212428406393,0.39942212428406393,4,"['breadth_positive_288_0_5', 'breadth_positive_288_0_66', 'leader_persistence_288_3', 'leader_persistence_288_8']",0.94,1.0,0.8,strong_ensemble_signal
2024-08-08,SOL-USD,0.5528640121797308,0.0,0.5528640121797308,0.5528640121797308,5,"['breadth_positive_288_0_5', 'breadth_positive_288_0_66', 'leader_persistence_288_3', 'leader_persistence_288_8', 'leader_persistence_72_3']",1.0,1.0,1.0,strong_ensemble_signal
2024-08-09,SOL-USD,0.5528640121797308,0.0,0.5528640121797308,0.5528640121797308,5,"['breadth_positive_288_0_5', 'breadth_positive_288_0_66', 'leader_persistence_288_3', 'leader_persistence_288_8', 'leader_persistence_72_3']",1.0,1.0,1.0,strong_ensemble_signal
2024-08-10,SOL-USD,0.5528640121797308,0.0,0.5528640121797308,0.5528640121797308,5,"['breadth_positive_288_0_5', 'breadth_positive_288_0_66', 'leader_persistence_288_3', 'leader_persistence_288_8', 'leader_persistence_72_3']",1.0,1.0,1.0,strong_ensemble_signal
2024-08-11,SOL-USD,0.39942212428406393,0.0,0.39942212428406393,0.39942212428406393,4,"['breadth_positive_288_0_5', 'breadth_positive_288_0_66', 'leader_persistence_288_3', 'leader_persistence_288_8']",0.94,1.0,0.8,strong_ensemble_signal
2024-08-12,SOL-USD,0.39942212428406393,0.0,0.39942212428406393,0.39942212428406393,4,"['breadth_positive_288_0_5', 'breadth_positive_288_0_66', 'leader_persistence_288_3', 'leader_persistence_288_8']",0.94,1.0,0.8,strong_ensemble_signal
2024-08-13,SOL-USD,0.39942212428406393,0.0,0.39942212428406393,0.39942212428406393,4,"['breadth_positive_288_0_5', 'breadth_positive_288_0_66', 'leader_persistence_288_3', 'leader_persistence_288_8']",0.94,1.0,0.8,strong_ensemble_signal
2024-08-14,SOL-USD,0.5528640121797308,0.0,0.5528640121797308,0.5528640121797308,5,"['breadth_positive_288_0_5', 'breadth_positive_288_0_66', 'leader_persistence_288_3', 'leader_persistence_288_8', 'leader_persistence_72_3']",1.0,1.0,1.0,strong_ensemble_signal
