hypothesis_id,family,alpha_score,passed_min_trades,description,signal_asset_rule,hold_period,direction,raw_trade_count,raw_win_rate,raw_avg_return,raw_median_return,raw_std_return,raw_min_return,raw_max_return,raw_gross_profit,raw_gross_loss,raw_profit_factor,raw_sharpe_like,raw_sortino_like,raw_final_equity,raw_total_return,raw_max_drawdown,raw_recovery_factor,raw_expectancy,non_overlap_trade_count,non_overlap_win_rate,non_overlap_avg_return,non_overlap_median_return,non_overlap_std_return,non_overlap_min_return,non_overlap_max_return,non_overlap_gross_profit,non_overlap_gross_loss,non_overlap_profit_factor,non_overlap_sharpe_like,non_overlap_sortino_like,non_overlap_final_equity,non_overlap_total_return,non_overlap_max_drawdown,non_overlap_recovery_factor,non_overlap_expectancy,asset_concentration,asset_counts
leader_persistence_72_8,leadership,2.76081,True,Long leader when leadership persists for at least 8 bars over 72.,leader_asset_72,72,LONG,1564,0.563299,0.32822797,0.08349122,0.79361271,-0.65616552,5.10398235,665.6321669,152.28361427,4.371003,16.356311,85.057493,1.837528773039523e+103,1.837528773039523e+103,-1.0,1.837528773039523e+103,0.32822797,541,0.563771,0.33580992,0.07920626,0.81608332,-0.65566769,5.07301549,234.2877235,52.61455533,4.452907,9.571007,51.649569,1.8922763354658966e+36,1.8922763354658966e+36,-0.9999994,1.8922774748680767e+36,0.33580992,0.434783,"{'SOL-USD': 680, 'BTC-USD': 521, 'ETH-USD': 363}"
breadth_positive_288_0_5,breadth,2.73787,True,Long leader when 50%+ of assets are positive over 288.,leader_asset_288,288,LONG,1281,0.654957,1.60210373,0.34887528,4.1892952,-0.8972573,46.54075418,2277.91017741,225.61530547,10.096435,13.687503,174.000616,4.331188204933824e+154,4.331188204933824e+154,-1.0,4.331188204933824e+154,1.60210373,117,0.641026,1.78536725,0.32679941,5.21459558,-0.87210638,46.54075418,228.51332422,19.62535642,11.64378,3.703394,56.027867,3067821277554490.0,3067821277554489.0,-1.0,3067821277554494.0,1.78536725,0.690086,"{'SOL-USD': 884, 'BTC-USD': 253, 'ETH-USD': 144}"
breadth_positive_288_0_66,breadth,2.73787,True,Long leader when 66%+ of assets are positive over 288.,leader_asset_288,288,LONG,1281,0.654957,1.60210373,0.34887528,4.1892952,-0.8972573,46.54075418,2277.91017741,225.61530547,10.096435,13.687503,174.000616,4.331188204933824e+154,4.331188204933824e+154,-1.0,4.331188204933824e+154,1.60210373,117,0.641026,1.78536725,0.32679941,5.21459558,-0.87210638,46.54075418,228.51332422,19.62535642,11.64378,3.703394,56.027867,3067821277554490.0,3067821277554489.0,-1.0,3067821277554494.0,1.78536725,0.690086,"{'SOL-USD': 884, 'BTC-USD': 253, 'ETH-USD': 144}"
momentum_top_rank_24_q90,momentum,2.600498,True,Long strongest-ranked asset when 24-period return is above q90 threshold.,asset_with_min_rank_return_24,24,LONG,499,0.581162,0.25858268,0.06476467,0.57697187,-0.58356319,3.05772129,161.88172654,32.84897098,4.928061,10.011406,46.564044,7.8852013019618595e+31,7.8852013019618595e+31,-0.99991817,7.8858466240842105e+31,0.25858268,499,0.581162,0.25858268,0.06476467,0.57697187,-0.58356319,3.05772129,161.88172654,32.84897098,4.928061,10.011406,46.564044,7.8852013019618595e+31,7.8852013019618595e+31,-0.99991817,7.8858466240842105e+31,0.25858268,0.709419,"{'SOL-USD': 354, 'ETH-USD': 121, 'BTC-USD': 24}"
leader_persistence_72_3,leadership,2.579702,True,Long leader when leadership persists for at least 3 bars over 72.,leader_asset_72,72,LONG,1887,0.54902,0.32845432,0.06732441,0.83528513,-0.69268408,5.10398235,810.73686039,190.9435544,4.24595,17.081507,90.935677,2.3166925046266906e+117,2.3166925046266906e+117,-1.0,2.3166925046266906e+117,0.32845432,656,0.547256,0.32521952,0.06028692,0.84701745,-0.65743227,5.10398235,280.62251453,67.27850662,4.171057,9.834135,53.035257,3.224683348423849e+39,3.224683348423849e+39,-0.99999999,3.224683388957876e+39,0.32521952,0.423423,"{'SOL-USD': 799, 'BTC-USD': 636, 'ETH-USD': 452}"
momentum_top_rank_288_q50,momentum,2.316572,True,Long strongest-ranked asset when 288-period return is above q50 threshold.,asset_with_min_rank_return_288,288,LONG,1265,0.61502,1.54489779,0.22159383,4.23333667,-0.8972573,46.54075418,2205.61915894,251.32345798,8.776018,12.979627,169.65761,4.643847036676135e+113,4.643847036676135e+113,-1.0,4.643847036676135e+113,1.54489779,116,0.62931,1.74666448,0.24194536,5.24841925,-0.8902004,46.54075418,223.71295161,21.09987166,10.602574,3.584346,56.099465,9816745968239.28,9816745968238.28,-1.0,9816745968238.281,1.74666448,0.720158,"{'SOL-USD': 911, 'BTC-USD': 213, 'ETH-USD': 141}"
momentum_top_rank_24_q75,momentum,2.157424,True,Long strongest-ranked asset when 24-period return is above q75 threshold.,asset_with_min_rank_return_24,24,LONG,966,0.599379,0.21540491,0.07143862,0.51316056,-0.58356319,3.30193358,264.87509688,56.79395188,4.663791,13.046406,59.277847,7.834578087605058e+53,7.834578087605058e+53,-0.99997457,7.834777311920615e+53,0.21540491,966,0.599379,0.21540491,0.07143862,0.51316056,-0.58356319,3.30193358,264.87509688,56.79395188,4.663791,13.046406,59.277847,7.834578087605058e+53,7.834578087605058e+53,-0.99997457,7.834777311920615e+53,0.21540491,0.564182,"{'SOL-USD': 545, 'ETH-USD': 291, 'BTC-USD': 130}"
breadth_positive_24_0_8,breadth,1.938854,True,Long leader when 80%+ of assets are positive over 24.,leader_asset_24,24,LONG,773,0.600259,0.19508403,0.06175504,0.4778882,-0.58356319,3.30193358,193.51751281,42.71755678,4.530163,11.34972,46.967731,4.9476938241208347e+39,4.9476938241208347e+39,-0.99964748,4.9494386181818137e+39,0.19508403,773,0.600259,0.19508403,0.06175504,0.4778882,-0.58356319,3.30193358,193.51751281,42.71755678,4.530163,11.34972,46.967731,4.947693824120829e+39,4.947693824120829e+39,-0.99963797,4.9494856862364563e+39,0.19508403,0.5511,"{'SOL-USD': 426, 'ETH-USD': 251, 'BTC-USD': 96}"
breadth_positive_24_1_0,breadth,1.938854,True,Long leader when 100%+ of assets are positive over 24.,leader_asset_24,24,LONG,773,0.600259,0.19508403,0.06175504,0.4778882,-0.58356319,3.30193358,193.51751281,42.71755678,4.530163,11.34972,46.967731,4.9476938241208347e+39,4.9476938241208347e+39,-0.99964748,4.9494386181818137e+39,0.19508403,773,0.600259,0.19508403,0.06175504,0.4778882,-0.58356319,3.30193358,193.51751281,42.71755678,4.530163,11.34972,46.967731,4.947693824120829e+39,4.947693824120829e+39,-0.99963797,4.9494856862364563e+39,0.19508403,0.5511,"{'SOL-USD': 426, 'ETH-USD': 251, 'BTC-USD': 96}"
breadth_positive_24_0_66,breadth,1.569537,True,Long leader when 66%+ of assets are positive over 24.,leader_asset_24,24,LONG,1229,0.581774,0.16999515,0.0483497,0.45858596,-0.58356319,3.30193358,281.45244887,72.52841449,3.880582,12.995462,52.67548,3.2554434039800026e+53,3.2554434039800026e+53,-0.9999966,3.255454468045765e+53,0.16999515,1229,0.581774,0.16999515,0.0483497,0.45858596,-0.58356319,3.30193358,281.45244887,72.52841449,3.880582,12.995462,52.67548,3.255443403979992e+53,3.255443403979992e+53,-0.99999986,3.255443854374052e+53,0.16999515,0.510171,"{'SOL-USD': 627, 'ETH-USD': 367, 'BTC-USD': 235}"
breadth_positive_24_0_5,breadth,1.47794,True,Long leader when 50%+ of assets are positive over 24.,leader_asset_24,24,LONG,1239,0.577078,0.16523842,0.04657066,0.45977621,-0.58356319,3.30193358,281.45244887,76.72204853,3.668469,12.650281,49.107398,1.3952450219667235e+51,1.3952450219667235e+51,-0.99999792,1.3952479309438986e+51,0.16523842,1239,0.577078,0.16523842,0.04657066,0.45977621,-0.58356319,3.30193358,281.45244887,76.72204853,3.668469,12.650281,49.107398,1.3952450219667227e+51,1.3952450219667227e+51,-0.99999986,1.3952452150003565e+51,0.16523842,0.506053,"{'SOL-USD': 627, 'ETH-USD': 377, 'BTC-USD': 235}"
