hypothesis_id,raw_weight,alpha_confidence,rolling_stability,asset_concentration,trade_count,weight
leader_persistence_72_3,2.290333795473491,0.789901,0.666667,0.423423,1887,0.15344188789566685
leader_persistence_72_8,2.206769940270384,0.796182,0.666667,0.434783,1564,0.14784349183324746
leader_persistence_288_3,1.8269194945224234,0.786797,0.7,0.552039,1643,0.12239524947278045
leader_persistence_288_8,1.7326520704431652,0.785643,0.7,0.570779,1540,0.11607976325571902
breadth_positive_24_0_8,1.646783257676724,0.796642,0.692308,0.5511,773,0.11032694557984904
breadth_positive_24_1_0,1.646783257676724,0.796642,0.692308,0.5511,773,0.11032694557984904
breadth_positive_288_0_5,1.2011798536075007,0.773727,0.7,0.690086,1281,0.08047355577778223
breadth_positive_288_0_66,1.2011798536075007,0.773727,0.7,0.690086,1281,0.08047355577778223
topology_low_density_leader_72,1.1737906560910512,0.810976,0.666667,0.663507,633,0.07863860482732371
