split_id,train_start,train_end,test_start,test_end,selected_count,raw_test_count,non_overlap_test_count,test_count,test_win_rate,test_avg_return,test_profit_factor,test_max_drawdown,test_final_equity
wf_001,2020-01-25 00:00:00,2022-01-24 00:00:00,2022-01-24 00:00:00,2022-07-23 00:00:00,5,416,10,10,0.0,-0.0852188,0.0,-0.52591439,0.40425602
wf_002,2020-07-23 00:00:00,2022-07-23 00:00:00,2022-07-23 00:00:00,2023-01-19 00:00:00,5,0,0,0,,,,,
wf_003,2021-01-19 00:00:00,2023-01-19 00:00:00,2023-01-19 00:00:00,2023-07-18 00:00:00,5,0,0,0,,,,,
wf_004,2021-07-18 00:00:00,2023-07-18 00:00:00,2023-07-18 00:00:00,2024-01-14 00:00:00,5,426,35,35,0.828571,0.12663509,44.167026,-0.05762862,56.38569025
wf_005,2022-01-14 00:00:00,2024-01-14 00:00:00,2024-01-14 00:00:00,2024-07-12 00:00:00,5,900,15,15,0.666667,0.08026405,8.753348,-0.14659046,2.94943367
wf_006,2022-07-13 00:00:00,2024-07-12 00:00:00,2024-07-12 00:00:00,2025-01-08 00:00:00,5,841,18,18,0.833333,0.02949129,10.615229,-0.03913209,1.65552115
wf_007,2023-01-09 00:00:00,2025-01-08 00:00:00,2025-01-08 00:00:00,2025-07-07 00:00:00,5,441,15,15,0.4,-0.01737571,0.309231,-0.30416618,0.7610819
wf_008,2023-07-08 00:00:00,2025-07-07 00:00:00,2025-07-07 00:00:00,2026-01-03 00:00:00,5,0,0,0,,,,,
