timestamp,asset,open,high,low,close,volume,dollar_volume,provider,interval,fetched_at,return_1d,return_3d,return_7d,return_14d,return_30d,return_90d,volatility_7d,volatility_14d,volatility_30d,volatility_90d,momentum_7d,momentum_14d,momentum_30d,momentum_90d,sma_7d,distance_sma_7d,sma_14d,distance_sma_14d,sma_30d,distance_sma_30d,sma_50d,distance_sma_50d,sma_100d,distance_sma_100d,sma_200d,distance_sma_200d,atr_14d,atr_pct_14d,volume_average_30d,volume_ratio_30d,dollar_volume_average_30d,dollar_volume_median_30d,drawdown_from_90d_high,trend_state,volatility_state,liquidity_state,source
2024-07-10 00:00:00+00:00,AAVE-USD,85.23595428466797,91.07176208496094,84.01011657714844,91.055419921875,86698548,86698548,yfinance,1d,2026-07-10T05:05:51.008195+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEUTRAL,NORMAL,NORMAL,market_features_v2_market_universe
2024-07-10 00:00:00+00:00,ADA-USD,0.3753710091114044,0.3896229863166809,0.3725129961967468,0.3888350129127502,251166038,251166038,yfinance,1d,2026-07-10T05:05:51.008195+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEUTRAL,NORMAL,NORMAL,market_features_v2_market_universe
2024-07-10 00:00:00+00:00,AVAX-USD,26.42434310913086,27.376235961914062,25.65686798095703,25.76766586303711,255672807,255672807,yfinance,1d,2026-07-10T05:05:51.008195+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEUTRAL,NORMAL,NORMAL,market_features_v2_market_universe
2024-07-10 00:00:00+00:00,BNB-USD,516.6347045898438,529.192138671875,511.8351745605469,524.5165405273438,1592646761,1592646761,yfinance,1d,2026-07-10T05:05:51.008195+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEUTRAL,NORMAL,NORMAL,market_features_v2_market_universe
2024-07-10 00:00:00+00:00,BTC-USD,58033.8828125,59359.43359375,57178.4140625,57742.49609375,26175260526,26175260526,yfinance,1d,2026-07-10T05:05:51.008195+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEUTRAL,NORMAL,NORMAL,market_features_v2_market_universe
2024-07-10 00:00:00+00:00,DOGE-USD,0.1075190007686615,0.1104300022125244,0.1059039980173111,0.1080219969153404,552090147,552090147,yfinance,1d,2026-07-10T05:05:51.008195+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEUTRAL,NORMAL,NORMAL,market_features_v2_market_universe
2024-07-10 00:00:00+00:00,ETH-USD,3066.13720703125,3148.407470703125,3026.6083984375,3102.21875,14578679176,14578679176,yfinance,1d,2026-07-10T05:05:51.008195+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEUTRAL,NORMAL,NORMAL,market_features_v2_market_universe
2024-07-10 00:00:00+00:00,LINK-USD,12.822996139526367,13.143470764160156,12.707423210144045,12.796518325805664,280522697,280522697,yfinance,1d,2026-07-10T05:05:51.008195+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEUTRAL,NORMAL,NORMAL,market_features_v2_market_universe
2024-07-10 00:00:00+00:00,SOL-USD,141.3741455078125,145.8537139892578,138.85604858398438,141.97479248046875,1952272010,1952272010,yfinance,1d,2026-07-10T05:05:51.008195+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEUTRAL,NORMAL,NORMAL,market_features_v2_market_universe
2024-07-10 00:00:00+00:00,XRP-USD,0.4358479976654053,0.4424040019512176,0.4317499995231628,0.4390380084514618,967522144,967522144,yfinance,1d,2026-07-10T05:05:51.008195+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEUTRAL,NORMAL,NORMAL,market_features_v2_market_universe
