source_row,source_col,target_row,target_col,weight
5,3,0,5,1
0,5,3,1,1
3,1,3,1,1
3,1,0,0,1
0,0,2,5,5
2,5,0,5,3
0,5,0,0,2
0,0,3,1,1
3,1,5,1,1
5,1,1,5,1
1,5,4,2,1
4,2,0,0,1
0,5,2,1,1
2,1,5,3,1
5,3,0,3,1
0,3,2,1,1
2,1,4,2,1
4,2,2,1,1
2,1,0,0,1
0,0,0,2,1
0,2,0,0,1
2,5,5,3,1
5,3,0,0,1
